client-api 2.5
audio-decoders 184
V tgv | eatgv | Electronic Arts TGV video
V theora | theora | Theora
V thp | thp | Nintendo Gamecube THP video
V tiertexseqvideo | tiertexseqvideo | Tiertex Limited SEQ video
V tiff | tiff | TIFF image
V tmv | tmv | 8088flex TMV
V tqi | eatqi | Electronic Arts TQI Video
V truemotion1 | truemotion1 | Duck TrueMotion 1.0
V truemotion2 | truemotion2 | Duck TrueMotion 2.0
V truemotion2rt | truemotion2rt | Duck TrueMotion 2.0 Real Time
V tscc | camtasia | TechSmith Screen Capture Codec
V tscc2 | tscc2 | TechSmith Screen Codec 2
V txd | txd | Renderware TXD (TeXture Dictionary) image
V ulti | ultimotion | IBM UltiMotion
V utvideo | utvideo | Ut Video
V v210 | v210 | Uncompressed 4:2:2 10-bit
V v210x | v210x | Uncompressed 4:2:2 10-bit
V vb | vb | Beam Software VB
V vble | vble | VBLE Lossless Codec
V vbn | vbn | Vizrt Binary Image
V vc1 | vc1 | SMPTE VC-1
V vc1 | vc1_cuvid | Nvidia CUVID VC1 decoder
V vc1 | vc1_qsv | VC1 video (Intel Quick Sync Video acceleration)
V vc1image | vc1image | Windows Media Video 9 Image v2
V vcr1 | vcr1 | ATI VCR1
V vixl | xl | Miro VideoXL
V vmdvideo | vmdvideo | Sierra VMD video
V vmix | vmix | vMix Video
V vmnc | vmnc | VMware Screen Codec / VMware Video
V vnull | vnull | null video
V vp3 | vp3 | On2 VP3
V vp4 | vp4 | On2 VP4
V vp5 | vp5 | On2 VP5
V vp6 | vp6 | On2 VP6
V vp6a | vp6a | On2 VP6 (Flash version, with alpha channel)
V vp6f | vp6f | On2 VP6 (Flash version)
V vp7 | vp7 | On2 VP7
V vp8 | libvpx | libvpx VP8
V vp8 | vp8 | On2 VP8
V vp8 | vp8_cuvid | Nvidia CUVID VP8 decoder
V vp8 | vp8_qsv | VP8 video (Intel Quick Sync Video acceleration)
V vp9 | libvpx-vp9 | libvpx VP9
V vp9 | vp9 | Google VP9
V vp9 | vp9_amf | VP9 AMD AMF video decoder
V vp9 | vp9_cuvid | Nvidia CUVID VP9 decoder
V vp9 | vp9_qsv | VP9 video (Intel Quick Sync Video acceleration)
V vqc | vqc | ViewQuest VQC
V vvc | vvc | VVC (Versatile Video Coding)
V vvc | vvc_qsv | VVC video (Intel Quick Sync Video acceleration)
V wady_dpcm | wady_dpcm | DPCM Marble WADY
V wavesynth | wavesynth | Wave synthesis pseudo-codec
V wbmp | wbmp | WBMP (Wireless Application Protocol Bitmap) image
V wcmv | wcmv | WinCAM Motion Video
V webp | webp | WebP image
V webp_anim | webp_anim | Animated WebP image
V westwood_snd1 | ws_snd1 | Westwood Audio (SND1)
V wmv1 | wmv1 | Windows Media Video 7
V wmv2 | wmv2 | Windows Media Video 8
V wmv3 | wmv3 | Windows Media Video 9
V wmv3image | wmv3image | Windows Media Video 9 Image
V wnv1 | wnv1 | Winnov WNV1
V wrapped_avframe | wrapped_avframe | AVPacket to AVFrame passthrough
V ws_vqa | vqavideo | Westwood Studios VQA (Vector Quantized Animation) video
V xan_wc3 | xan_wc3 | Wing Commander III / Xan
V xan_wc4 | xan_wc4 | Wing Commander IV / Xxan
V xbin | xbin | eXtended BINary text
V xbm | xbm | XBM (X BitMap) image
V xface | xface | X-face image
V xma1 | xma1 | Xbox Media Audio 1
V xma2 | xma2 | Xbox Media Audio 2
V xpm | xpm | XPM (X PixMap) image
V xwd | xwd | XWD (X Window Dump) image
V y41p | y41p | Uncompressed YUV 4:1:1 12-bit
V ylc | ylc | YUY2 Lossless Codec
V yop | yop | Psygnosis YOP Video
V yuv4 | yuv4 | Uncompressed packed 4:2:0
V zerocodec | zerocodec | ZeroCodec Lossless Video
V zlib | zlib | LCL (LossLess Codec Library) ZLIB
V zmbv | zmbv | Zip Motion Blocks Video
